[crop] groups=462 unmapped=0
  [Q] Mathematics_analysis_and_approaches_paper_1__HL.pdf: 26 recs
  [Q] Mathematics_analysis_and_approaches_paper_2__HL.pdf: 28 recs
  [Q] Mathematics_analysis_and_approaches_paper_3__HL.pdf: 11 recs
  [Q] Mathematics_analysis_and_approaches_paper_1__TZ1_HL.pdf: 29 recs
  [Q] Mathematics_analysis_and_approaches_paper_1__TZ2_HL.pdf: 30 recs
  [Q] Mathematics_analysis_and_approaches_paper_2__TZ1_HL.pdf: 29 recs
  [Q] Mathematics_analysis_and_approaches_paper_2__TZ2_HL.pdf: 33 recs
  [Q] Mathematics_analysis_and_approaches_paper_3__TZ1_HL.pdf: 12 recs
  [Q] Mathematics_analysis_and_approaches_paper_3__TZ2_HL.pdf: 12 recs
  [Q] Mathematics_analysis_and_approaches_paper_1__TZ1_HL.pdf: 25 recs
  [Q] Mathematics_analysis_and_approaches_paper_1__TZ2_HL.pdf: 25 recs
  [Q] Mathematics_analysis_and_approaches_paper_2__TZ1_HL.pdf: 33 recs
  [Q] Mathematics_analysis_and_approaches_paper_2__TZ2_HL.pdf: 33 recs
  [Q] Mathematics_analysis_and_approaches_paper_3__HL.pdf: 12 recs
  [Q] HL-paper1.pdf: 100 recs
  [Q] HL-paper2.pdf: 74 recs
  [Q] HL-paper3.pdf: 4 recs
  [Q] HL-paper3.pdf: 104 recs
  [Q] HL-paper1.pdf: 88 recs
  [Q] HL-paper2.pdf: 74 recs
  [Q] HL-paper3.pdf: 2 recs
  [Q] HL-paper1.pdf: 56 recs
  [Q] HL-paper2.pdf: 53 recs
  [Q] HL-paper1.pdf: 37 recs
  [Q] HL-paper2.pdf: 35 recs
  [Q] HL-paper1.pdf: 47 recs
  [Q] HL-paper2.pdf: 95 recs
  [Q] HL-paper3.pdf: 17 recs
  [Q] HL-paper1.pdf: 116 recs
  [Q] HL-paper2.pdf: 100 recs
  [Q] HL-paper3.pdf: 8 recs
  [Q] HL-paper2.pdf: 3 recs
  [Q] HL-paper3.pdf: 90 recs
  [Q] HL-paper3.pdf: 104 recs
  [Q] HL-paper1.pdf: 5 recs
  [Q] HL-paper2.pdf: 8 recs
  [Q] HL-paper3.pdf: 95 recs
  [Q] Physics_paper_1__HL.pdf: 40 recs
  [Q] Physics_paper_2__HL.pdf: 36 recs
  [Q] Physics_paper_3__HL.pdf: 53 recs
  [Q] Physics_paper_1__HL.pdf: 40 recs
  [Q] Physics_paper_2__HL.pdf: 29 recs
  [Q] Physics_paper_3__HL.pdf: 66 recs
  [Q] Physics_paper_1__TZ1_HL.pdf: 40 recs
  [Q] Physics_paper_1__TZ2_HL.pdf: 40 recs
  [Q] Physics_paper_2__TZ1_HL.pdf: 33 recs
  [Q] Physics_paper_2__TZ2_HL.pdf: 30 recs
  [Q] Physics_paper_3__TZ1_HL.pdf: 51 recs
